system   I             system.c:245  al_install_system                [   0.00134] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00190] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00219] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00223] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.01214] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.06254] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.06315] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.06317] al_display=014481A0
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.06319] al_display->vt=01426388
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06766] found 64 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.06771] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06774] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06776] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06779] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06781] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06783] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06785] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06788] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06790] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06792] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06794] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06797] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06799] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06802] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06803] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06806] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06807] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06810] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06811] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06814] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06815] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06818] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06819] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06827] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06829] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06832] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06833] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06836] Score is : 897
